Session,Level,Gold,Energy,Catches,Upgrades,Merges,Quests,BestRank,Tier,TeamPower,CreatureCount,SpeciesUnlocked,MergePairs,AffordableUpgrades,ViableActions,FunScore,AvgTraitRank
404,22,98.98,0,601.39,730.1,590.92,374.9,16.92,Mythic,386.82,10.48,6,1.2,12.12,2,19.92,8.63
405,22,97.16,0,602.88,732.06,592.32,375.69,16.93,Mythic,388.73,10.56,6,1.31,12.39,1.99,19.48,8.6
406,22,98.67,0,604.29,734.03,593.83,376.5,16.94,Mythic,387.15,10.45,6,1.31,12.16,1.99,19.83,8.66
407,22,98.57,0,605.77,736.01,595.24,377.33,16.96,Mythic,387.6,10.53,6,1.32,12.56,1.99,19.91,8.59
408,22,97.06,0,607.21,737.96,596.71,378.13,16.97,Mythic,387.35,10.49,6,1.27,12.39,1.99,19.89,8.62
409,22,98.07,0,608.68,739.93,598.15,378.95,16.98,Mythic,387.43,10.53,6,1.3,12.6,2,19.9,8.59
410,22,97.62,0,610.12,741.89,599.62,379.76,16.98,Mythic,387.23,10.5,6,1.31,12.61,1.99,19.85,8.61
411,22,100.4,0,611.57,743.87,601.06,380.6,16.99,Mythic,388.21,10.51,6,1.24,12.61,2,20.11,8.63
412,22,98.5,0,613.03,745.83,602.51,381.42,17,Mythic,388.06,10.52,6,1.25,12.63,1.99,19.97,8.61
413,22,99.22,0,614.47,747.81,603.97,382.23,17.01,Mythic,388.1,10.5,6,1.29,12.53,1.99,19.87,8.63
414,22.01,97.99,0,615.92,749.79,605.41,383.05,17.02,Mythic,389.09,10.51,6,1.27,12.46,2,19.93,8.65
415,22.03,100.07,0,617.37,751.76,606.85,383.87,17.02,Mythic,389.77,10.52,6,1.3,12.55,2,19.93,8.65
416,22.1,98.93,0,618.82,753.74,608.32,384.69,17.03,Mythic,389.25,10.5,6,1.26,12.45,2,20.06,8.66
417,22.22,96.51,0,620.3,755.72,609.77,385.48,17.04,Mythic,388.84,10.53,6,1.33,12.7,2,19.7,8.62
418,22.38,99.56,0,621.73,757.69,611.23,386.32,17.04,Mythic,388.41,10.5,6,1.25,12.6,2,19.97,8.65
419,22.58,98.56,0,623.18,759.66,612.67,387.14,17.05,Mythic,388.35,10.52,6,1.24,12.71,2,19.87,8.63
420,22.77,100.72,0,624.62,761.64,614.14,387.98,17.06,Mythic,387.62,10.48,6,1.24,12.61,2,20.15,8.64
421,22.89,97.43,0,626.1,763.6,615.55,388.77,17.07,Mythic,388.7,10.55,6,1.29,12.81,1.99,19.7,8.62
422,22.96,97.97,0,627.51,765.58,617.02,389.58,17.09,Mythic,388.47,10.49,6,1.33,12.52,2,19.71,8.66
423,22.99,99.61,0,628.98,767.55,618.46,390.41,17.09,Mythic,389.4,10.53,6,1.23,12.69,1.99,19.89,8.65
424,22.99,100.05,0,630.42,769.52,619.91,391.23,17.1,Mythic,389.12,10.51,6,1.21,12.64,1.99,19.78,8.66
425,23,97.68,0,631.88,771.48,621.36,392.03,17.11,Mythic,389.07,10.52,6,1.25,12.72,1.99,19.57,8.66
426,23,100.39,0,633.31,773.45,622.83,392.86,17.12,Mythic,388.35,10.49,6,1.2,12.69,1.99,19.87,8.66
427,23,98.28,0,634.76,775.42,624.25,393.65,17.13,Mythic,389.47,10.51,6,1.3,12.72,1.99,19.5,8.66
428,23,99.11,0,636.22,777.38,625.7,394.47,17.14,Mythic,390.36,10.52,6,1.26,12.63,1.99,19.85,8.67
429,23,97.59,0,637.66,779.36,627.16,395.26,17.15,Mythic,390.93,10.51,6,1.3,12.56,1.99,19.62,8.71
430,23,100.68,0,639.11,781.33,628.62,396.1,17.16,Mythic,390.4,10.49,6,1.24,12.61,2,20.05,8.7
431,23,98.08,0,640.58,783.31,630.03,396.89,17.17,Mythic,390.89,10.55,6,1.31,12.84,2,19.6,8.65
432,23,99.74,0,642,785.28,631.51,397.71,17.18,Mythic,390.19,10.49,6,1.27,12.64,2,19.73,8.69
433,23,98.78,0,643.47,787.26,632.93,398.5,17.19,Mythic,391.67,10.54,6,1.37,12.74,2,19.5,8.69
434,23,101.09,0,644.9,789.22,634.43,399.33,17.2,Mythic,391.1,10.47,6,1.29,12.52,2,19.8,8.74
435,23,98.34,0,646.4,791.2,635.83,400.12,17.21,Mythic,392.81,10.57,6,1.28,12.73,2,19.41,8.69
436,23,98.95,0,647.79,793.17,637.36,400.91,17.22,Mythic,391.68,10.44,6,1.3,12.27,1.99,19.33,8.79
437,23,99.73,0,649.32,795.15,638.73,401.73,17.22,Mythic,393.54,10.59,6,1.37,12.78,2,19.6,8.69
438,23,101.71,0,650.7,797.12,640.27,402.55,17.23,Mythic,392.45,10.43,6,1.17,12.06,2,19.67,8.81
439,23,98.72,0,652.23,799.09,641.67,403.35,17.23,Mythic,394.13,10.56,6,1.31,12.52,2,19.45,8.73
440,23,100.71,0,653.63,801.06,643.17,404.17,17.25,Mythic,392.84,10.46,6,1.27,12.23,1.99,19.55,8.79
441,23,98.92,0,655.12,803.04,644.58,404.96,17.26,Mythic,393.9,10.54,6,1.28,12.51,1.99,19.46,8.74
442,23,101.34,0,656.53,804.99,646.07,405.8,17.27,Mythic,393.3,10.46,6,1.21,12.21,1.99,19.73,8.8
443,23,95.73,0,658.01,806.96,647.46,406.55,17.28,Mythic,394.22,10.55,6,1.36,12.46,1.99,19.06,8.74
444,23,99.34,0,659.43,808.93,648.95,407.36,17.28,Mythic,393.45,10.48,6,1.33,12.32,1.99,19.64,8.78
445,23,98.3,0,660.89,810.87,650.35,408.15,17.29,Mythic,394.75,10.53,6,1.35,12.45,1.98,19.2,8.77
446,23,99.09,0,662.3,812.83,651.81,408.95,17.3,Mythic,393.51,10.49,6,1.3,12.36,1.99,19.42,8.78
447,23,99.38,0,663.77,814.79,653.23,409.76,17.3,Mythic,394.78,10.54,6,1.34,12.55,1.99,19.61,8.76
448,23.01,100.39,0,665.19,816.76,654.71,410.57,17.31,Mythic,393.75,10.48,6,1.28,12.29,1.99,19.64,8.8
449,23.02,98.99,0,666.67,818.73,656.11,411.37,17.31,Mythic,394.52,10.56,6,1.3,12.66,1.99,19.5,8.74
450,23.08,99.63,0,668.08,820.68,657.63,412.16,17.32,Mythic,393.06,10.45,6,1.27,12.34,1.99,19.43,8.8
451,23.19,99.52,0,669.59,822.65,659.02,412.96,17.33,Mythic,395.19,10.57,6,1.38,12.73,1.99,19.38,8.74
452,23.33,99.38,0,670.98,824.61,660.54,413.74,17.35,Mythic,393.51,10.44,6,1.29,12.31,2,19.29,8.83
453,23.5,100.84,0,672.48,826.58,661.94,414.56,17.35,Mythic,395.22,10.55,6,1.28,12.62,1.99,19.53,8.77
454,23.7,100.14,0,673.91,828.55,663.45,415.36,17.36,Mythic,393.77,10.46,6,1.27,12.41,2,19.6,8.81
455,23.85,99.44,0,675.39,830.51,664.86,416.14,17.37,Mythic,394.21,10.53,6,1.3,12.67,2,19.35,8.76
456,23.93,97.57,0,676.82,832.49,666.33,416.9,17.38,Mythic,393.47,10.49,6,1.33,12.6,2,19.38,8.78
457,23.97,98.95,0,678.3,834.46,667.77,417.7,17.39,Mythic,394.15,10.53,6,1.4,12.78,1.99,19.55,8.76
458,23.99,99.98,0,679.72,836.44,669.25,418.51,17.39,Mythic,393.92,10.47,6,1.31,12.55,2,19.66,8.81
459,24,99.49,0,681.21,838.42,670.64,419.29,17.4,Mythic,394.99,10.58,6,1.39,13.01,1.99,19.38,8.74
460,24,99.81,0,682.6,840.39,672.16,420.08,17.41,Mythic,393.85,10.44,6,1.31,12.49,2,19.49,8.84
461,24,99.52,0,684.13,842.35,673.54,420.87,17.41,Mythic,396.61,10.6,6,1.4,12.94,1.99,19.34,8.76
462,24,100.29,0,685.49,844.31,675.09,421.67,17.42,Mythic,394.77,10.4,6,1.27,12.17,2,19.49,8.9
463,24,100.84,0,687.05,846.28,676.42,422.47,17.43,Mythic,398.54,10.63,6,1.38,12.89,1.99,19.52,8.77
464,24,100.33,0,688.4,848.25,678.01,423.27,17.44,Mythic,394.68,10.39,6,1.27,12.15,2,19.44,8.91
465,24,98.58,0,689.98,850.2,679.34,424.03,17.44,Mythic,397.65,10.64,6,1.39,13.1,1.99,18.99,8.74
466,24,101.35,0,691.3,852.17,680.91,424.84,17.45,Mythic,394.93,10.39,6,1.27,12.2,1.99,19.31,8.92
467,24,101.2,0,692.86,854.14,682.26,425.65,17.46,Mythic,396.66,10.6,6,1.36,13.01,1.99,19.37,8.76
468,24,101.59,0,694.23,856.11,683.81,426.44,17.46,Mythic,394.71,10.42,6,1.3,12.28,1.99,19.3,8.89
469,24,99.61,0,695.77,858.08,685.2,427.21,17.47,Mythic,396.88,10.58,6,1.46,12.82,2,19.15,8.79
470,24,100.46,0,697.15,860.03,686.72,427.99,17.48,Mythic,395.4,10.43,6,1.33,12.44,1.98,19.28,8.89
471,24,99.25,0,698.66,862.01,688.09,428.78,17.48,Mythic,397.51,10.56,6,1.35,12.76,2,19.55,8.82
472,24,100.03,0,700.06,863.96,689.6,429.56,17.49,Mythic,396.3,10.46,6,1.23,12.51,1.99,19.44,8.88
473,24,100.65,0,701.57,865.94,690.99,430.36,17.5,Mythic,397.52,10.59,6,1.38,13.04,2,19.5,8.8
474,24,100.72,0,702.94,867.89,692.53,431.15,17.5,Mythic,395.16,10.42,6,1.34,12.45,1.99,19.32,8.9
475,24,100.67,0,704.49,869.85,693.88,431.93,17.51,Mythic,397.19,10.61,6,1.43,13.24,2,19.29,8.76
476,24,99.19,0,705.84,871.83,695.42,432.71,17.51,Mythic,394.75,10.41,6,1.32,12.46,2,19.25,8.89
477,24,99.16,0,707.37,873.8,696.78,433.48,17.52,Mythic,397.19,10.58,6,1.46,13.03,1.99,19.22,8.8
478,24,101.43,0,708.75,875.77,698.31,434.29,17.52,Mythic,395.12,10.44,6,1.35,12.63,2,19.62,8.87
479,24,98.36,0,710.26,877.73,699.71,435.04,17.53,Mythic,395.9,10.55,6,1.39,13.05,1.99,19.18,8.79
480,24,101.22,0,711.68,879.7,701.21,435.84,17.54,Mythic,395.35,10.47,6,1.34,12.8,2,19.61,8.85
481,24,99.51,0,713.16,881.67,702.64,436.62,17.55,Mythic,395.98,10.53,6,1.36,13.01,1.99,19.55,8.81
482,24.01,99.54,0,714.61,883.64,704.12,437.39,17.56,Mythic,395.99,10.49,6,1.41,12.81,2,19.44,8.85
483,24.02,98.23,0,716.07,885.61,705.56,438.15,17.56,Mythic,396.28,10.51,6,1.43,13,1.99,19.35,8.83
484,24.07,102.34,0,717.52,887.59,707,438.98,17.56,Mythic,396.8,10.52,6,1.36,13.05,2,19.95,8.83
485,24.14,99.47,0,718.97,889.54,708.45,439.77,17.57,Mythic,396.8,10.52,6,1.28,12.93,1.99,19.45,8.85
486,24.29,101.41,0,720.41,891.5,709.91,440.57,17.57,Mythic,396.61,10.5,6,1.33,12.9,1.99,19.52,8.85
487,24.44,100.57,0,721.86,893.46,711.36,441.36,17.58,Mythic,397.22,10.5,6,1.32,12.88,1.99,19.47,8.86
488,24.59,100.36,0,723.3,895.43,712.81,442.14,17.58,Mythic,397.78,10.49,6,1.38,12.84,1.99,19.4,8.88
489,24.77,99.48,0,724.76,897.39,714.23,442.91,17.59,Mythic,397.87,10.53,6,1.4,13.02,2,19.37,8.84
490,24.89,100.28,0,726.2,899.35,715.69,443.7,17.59,Mythic,396.79,10.5,6,1.33,12.99,2,19.5,8.84
491,24.95,100.2,0,727.66,901.31,717.14,444.48,17.6,Mythic,397.35,10.52,6,1.37,12.96,2,19.42,8.85
492,24.98,101.42,0,729.09,903.27,718.61,445.27,17.6,Mythic,397.22,10.48,6,1.37,12.82,2,19.44,8.88
493,25,98.88,0,730.57,905.25,720.04,446.03,17.61,Mythic,398.31,10.53,6,1.42,12.95,2,19.37,8.86
494,25,100.11,0,732.01,907.22,721.5,446.82,17.62,Mythic,398.05,10.52,6,1.42,12.98,2,19.62,8.87
495,25,101.86,0,733.46,909.19,722.95,447.62,17.62,Mythic,397.63,10.5,6,1.36,12.99,2,19.69,8.87
496,25,100.02,0,734.9,911.16,724.4,448.39,17.62,Mythic,397.52,10.49,6,1.39,12.94,2,19.42,8.87
497,25,100.07,0,736.35,913.14,725.83,449.17,17.62,Mythic,398.35,10.52,6,1.38,12.96,1.99,19.61,8.87
498,25,100.42,0,737.79,915.11,727.31,449.95,17.63,Mythic,397.77,10.48,6,1.3,12.92,2,19.7,8.89
499,25,100.45,0,739.28,917.08,728.74,450.73,17.64,Mythic,399.31,10.54,6,1.37,13,2,19.65,8.87
500,25,101.13,0,740.7,919.07,730.22,451.52,17.64,Mythic,398.9,10.48,6,1.34,12.77,2,19.69,8.93
501,25,101.21,0,742.18,921.04,731.64,452.3,17.64,Mythic,399.93,10.54,6,1.37,12.95,1.99,19.49,8.9
502,25,99.96,0,743.61,923.02,733.11,453.06,17.65,Mythic,399.83,10.5,6,1.36,12.86,2,19.32,8.93
503,25,102.25,0,745.07,924.98,734.56,453.86,17.65,Mythic,399.85,10.52,6,1.34,13.01,2,19.55,8.91
504,25,101.3,0,746.51,926.96,736,454.66,17.65,Mythic,399.96,10.52,6,1.31,13,2,19.5,8.92
505,25,101.15,0,747.96,928.94,737.44,455.44,17.65,Mythic,399.89,10.52,6,1.36,12.99,2,19.3,8.91
506,25,100.4,0,749.4,930.91,738.93,456.21,17.65,Mythic,399.72,10.47,6,1.36,12.72,2,19.26,8.96
507,25,102.17,0,750.88,932.89,740.33,457.01,17.66,Mythic,400.87,10.54,6,1.35,12.98,2,19.64,8.9
508,25,100.33,0,752.3,934.87,741.82,457.79,17.66,Mythic,399.68,10.48,6,1.33,12.79,2,19.44,8.94
509,25,103.4,0,753.77,936.84,743.26,458.58,17.67,Mythic,401.24,10.51,6,1.38,12.82,2,19.72,8.95
510,25,100.84,0,755.23,938.81,744.7,459.35,17.67,Mythic,400.99,10.52,6,1.35,12.83,1.99,19.43,8.94
511,25,102.15,0,756.66,940.77,746.19,460.14,17.68,Mythic,400.53,10.47,6,1.37,12.68,2,19.54,8.97
512,25,100.53,0,758.17,942.74,747.59,460.9,17.69,Mythic,401.53,10.57,6,1.42,13.14,2,19.46,8.89
513,25,98.87,0,759.57,944.71,749.11,461.65,17.69,Mythic,400.89,10.47,6,1.41,12.71,2,19.19,8.98
514,25,102.39,0,761.05,946.68,750.55,462.46,17.7,Mythic,401.58,10.5,6,1.35,12.8,2,19.75,8.97
515,25,100.27,0,762.51,948.63,751.99,463.23,17.71,Mythic,401.61,10.53,6,1.39,12.88,2,19.33,8.95
516,25,100.38,0,763.94,950.6,753.46,463.99,17.71,Mythic,401.67,10.49,6,1.38,12.66,1.99,19.38,8.99
517,25.01,99.5,0,765.42,952.58,754.88,464.76,17.71,Mythic,401.97,10.54,6,1.44,12.87,2,19.43,8.94
518,25.05,102.1,0,766.85,954.53,756.36,465.54,17.72,Mythic,400.89,10.48,6,1.4,12.76,1.99,19.46,8.98
519,25.1,99.09,0,768.33,956.49,757.79,466.3,17.73,Mythic,401.54,10.54,6,1.44,12.99,2,19.3,8.94
520,25.21,103.45,0,769.76,958.46,759.27,467.11,17.73,Mythic,401.2,10.5,6,1.32,12.91,1.99,19.55,8.97
521,25.34,102.06,0,771.23,960.42,760.71,467.88,17.74,Mythic,401.89,10.52,6,1.32,13.01,1.99,19.19,8.96
522,25.52,102.13,0,772.66,962.39,762.18,468.65,17.74,Mythic,401.63,10.48,6,1.35,12.84,1.99,19.3,9
523,25.7,102.09,0,774.15,964.37,763.61,469.43,17.75,Mythic,402.77,10.54,6,1.4,12.99,1.99,19.53,8.96
524,25.83,101.65,0,775.57,966.34,765.09,470.21,17.75,Mythic,401.89,10.48,6,1.36,12.79,1.99,19.39,9
525,25.92,100.62,0,777.07,968.32,766.52,470.95,17.75,Mythic,403.43,10.55,6,1.43,12.93,1.99,19.05,8.97
526,25.97,100.95,0,778.48,970.26,768.01,471.72,17.75,Mythic,402.86,10.47,6,1.39,12.63,1.99,19.07,9.03
527,25.99,100.87,0,779.97,972.23,769.43,472.49,17.75,Mythic,403.64,10.54,6,1.38,12.94,2,19.32,8.98
528,26,101.72,0,781.38,974.21,770.92,473.28,17.75,Mythic,402.53,10.46,6,1.35,12.65,1.99,19.48,9.04
529,26,100.62,0,782.88,976.17,772.33,474.03,17.76,Mythic,404.4,10.55,6,1.42,12.98,2,19.31,8.99
530,26,103.15,0,784.29,978.13,773.82,474.83,17.76,Mythic,404.05,10.47,6,1.33,12.66,1.99,19.64,9.05
531,26,100.86,0,785.78,980.12,775.23,475.6,17.77,Mythic,405.51,10.55,6,1.41,12.8,2,19.4,9.01
532,26,101.86,0,787.19,982.08,776.74,476.37,17.77,Mythic,404.16,10.45,6,1.35,12.53,2,19.4,9.08
533,26,100.89,0,788.69,984.05,778.12,477.12,17.77,Mythic,405.23,10.57,6,1.45,13.04,1.99,19.18,8.99
534,26,100.54,0,790.08,986.02,779.64,477.88,17.78,Mythic,403.41,10.45,6,1.39,12.62,2,19.39,9.06
535,26,100.02,0,791.6,987.98,781.04,478.62,17.78,Mythic,403.86,10.56,6,1.46,13.02,1.99,19.2,8.98
536,26,100.97,0,793.01,989.95,782.53,479.39,17.78,Mythic,403.09,10.49,6,1.42,12.92,2,19.31,9.02
537,26,99.98,0,794.49,991.91,783.95,480.13,17.79,Mythic,403.38,10.54,6,1.5,13.13,2,18.94,8.98
538,26,101.75,0,795.91,993.88,785.42,480.91,17.79,Mythic,403.91,10.49,6,1.41,12.9,2,19.19,9.04
539,26,101.05,0,797.38,995.84,786.86,481.68,17.79,Mythic,403.61,10.53,6,1.4,13.04,1.99,19.09,9
540,26,101.68,0,798.81,997.81,788.33,482.45,17.79,Mythic,403.61,10.48,6,1.36,12.8,1.99,19.08,9.05
541,26,102.81,0,800.29,999.78,789.75,483.23,17.79,Mythic,404.6,10.54,6,1.45,13.02,2,19.2,9.02
542,26,100.53,0,801.71,1001.73,791.24,483.98,17.8,Mythic,403.58,10.47,6,1.41,12.72,1.99,18.93,9.07
543,26,101.12,0,803.22,1003.7,792.65,484.74,17.8,Mythic,405.02,10.57,6,1.44,13.13,1.99,19.02,9
544,26,101.3,0,804.61,1005.67,794.17,485.5,17.8,Mythic,403.2,10.45,6,1.34,12.76,2,19.02,9.07
545,26,99.63,0,806.12,1007.64,795.55,486.25,17.81,Mythic,404.86,10.57,6,1.51,13.19,1.99,18.91,8.99
546,26,101.31,0,807.52,1009.6,797.06,487.01,17.81,Mythic,404.48,10.46,6,1.42,12.76,1.99,19.09,9.08
547,26,100.78,0,809.03,1011.57,798.44,487.76,17.81,Mythic,405.73,10.59,6,1.48,13.24,1.99,18.83,8.99
548,26,103.65,0,810.41,1013.54,800,488.54,17.82,Mythic,403.7,10.41,6,1.39,12.62,2,19.2,9.12
549,26,98.87,0,811.94,1015.5,801.36,489.27,17.82,Mythic,406.4,10.57,6,1.48,13.09,2,18.8,9.02
550,26,104.12,0,813.33,1017.46,802.88,490.06,17.82,Mythic,404.66,10.44,6,1.41,12.73,2,19.51,9.1
551,26,103.3,0,814.83,1019.44,804.26,490.86,17.83,Mythic,406.72,10.57,6,1.35,13.02,2,19.63,9.03
552,26.03,100.94,0,816.23,1021.4,805.78,491.6,17.83,Mythic,405.92,10.45,6,1.36,12.58,1.99,19.15,9.12
553,26.08,99.61,0,817.72,1023.37,807.17,492.33,17.83,Mythic,406.76,10.55,6,1.49,13,2,19.14,9.04
554,26.17,102.62,0,819.13,1025.34,808.67,493.11,17.83,Mythic,406.06,10.46,6,1.44,12.7,1.99,19.66,9.11
555,26.27,100.83,0,820.63,1027.3,810.07,493.86,17.84,Mythic,407.57,10.56,6,1.38,12.88,1.99,19.39,9.06
556,26.41,101.85,0,822.04,1029.27,811.58,494.63,17.84,Mythic,406.52,10.47,6,1.37,12.65,2,19.56,9.12
557,26.59,102.16,0,823.55,1031.23,812.98,495.4,17.84,Mythic,407.55,10.57,6,1.44,13.04,2,19.5,9.05
558,26.75,101.47,0,824.95,1033.2,814.48,496.15,17.84,Mythic,406.6,10.46,6,1.36,12.7,2,19.32,9.13
559,26.85,100.2,0,826.45,1035.15,815.89,496.91,17.84,Mythic,407.53,10.56,6,1.49,13.13,2,19.16,9.06
560,26.94,103.55,0,827.85,1037.12,817.39,497.7,17.85,Mythic,406.32,10.46,6,1.33,12.79,2,19.54,9.12
561,26.97,100.01,0,829.37,1039.09,818.78,498.44,17.85,Mythic,407.48,10.58,6,1.42,13.18,1.99,19.02,9.05
562,26.99,101.64,0,830.76,1041.05,820.32,499.22,17.86,Mythic,405.63,10.44,6,1.37,12.78,2,19.31,9.14
563,27,103.15,0,832.28,1042.99,821.7,500,17.86,Mythic,407.41,10.58,6,1.39,13.2,1.99,19.14,9.05
564,27,102.31,0,833.65,1044.97,823.24,500.77,17.86,Mythic,406.03,10.42,6,1.29,12.58,2,19.24,9.16
565,27,103.41,0,835.2,1046.94,824.6,501.55,17.86,Mythic,408.04,10.6,6,1.47,13.27,2,19.26,9.04
566,27,103.21,0,836.57,1048.9,826.15,502.32,17.87,Mythic,405.14,10.42,6,1.37,12.63,1.99,19.25,9.15
567,27,102.66,0,838.1,1050.89,827.52,503.08,17.87,Mythic,406.99,10.58,6,1.46,13.24,2,19.26,9.04
568,27,100.72,0,839.49,1052.85,829.05,503.82,17.87,Mythic,406.16,10.44,6,1.42,12.62,2,19,9.16
569,27,103.56,0,841,1054.82,830.43,504.6,17.87,Mythic,408.11,10.57,6,1.44,13.11,2,19.28,9.07
570,27,102.57,0,842.4,1056.8,831.95,505.36,17.87,Mythic,406.73,10.44,6,1.39,12.65,2,19.38,9.16
571,27,101.11,0,843.92,1058.77,833.36,506.09,17.87,Mythic,408.64,10.56,6,1.5,13.07,2,19.09,9.08
572,27,101.45,0,845.32,1060.74,834.84,506.85,17.87,Mythic,407.66,10.48,6,1.48,12.84,1.99,19.22,9.15
573,27,103.7,0,846.8,1062.7,836.28,507.64,17.88,Mythic,407.77,10.52,6,1.43,13.06,2,19.45,9.1
574,27,100.44,0,848.24,1064.66,837.74,508.37,17.88,Mythic,408.52,10.5,6,1.41,12.78,1.99,19.01,9.15
575,27,102.31,0,849.72,1066.62,839.19,509.12,17.88,Mythic,408.74,10.52,6,1.47,12.9,1.99,19.15,9.12
576,27,102.94,0,851.15,1068.58,840.66,509.89,17.88,Mythic,408.3,10.49,6,1.41,12.86,1.99,19.29,9.15
577,27,101.93,0,852.62,1070.56,842.09,510.64,17.88,Mythic,409.07,10.53,6,1.46,12.98,2,19.19,9.12
578,27,102.44,0,854.05,1072.53,843.57,511.41,17.89,Mythic,407.72,10.47,6,1.44,12.81,2,19.29,9.15
579,27,100,0,855.54,1074.5,844.98,512.13,17.89,Mythic,409.64,10.56,6,1.49,12.98,1.99,18.96,9.11
580,27,103.74,0,856.94,1076.47,846.48,512.9,17.89,Mythic,408.85,10.47,6,1.41,12.71,2,19.33,9.18
581,27,101.26,0,858.43,1078.44,847.88,513.65,17.89,Mythic,409.55,10.56,6,1.45,12.97,1.99,19.08,9.1
582,27,102.92,0,859.85,1080.39,849.39,514.4,17.89,Mythic,408.16,10.46,6,1.44,12.73,2,19.23,9.16
583,27,101.54,0,861.34,1082.35,850.79,515.15,17.89,Mythic,409.32,10.54,6,1.5,13.06,1.99,19.1,9.11
584,27,103.22,0,862.75,1084.31,852.29,515.92,17.9,Mythic,408.07,10.46,6,1.37,12.86,2,19.51,9.16
585,27,100.59,0,864.26,1086.27,853.68,516.63,17.9,Mythic,409.4,10.58,6,1.48,13.28,2,18.97,9.08
586,27.02,105.43,0,865.65,1088.24,855.2,517.44,17.9,Mythic,407.54,10.44,6,1.35,12.86,1.99,19.71,9.18
587,27.05,101.9,0,867.16,1090.21,856.6,518.18,17.9,Mythic,409.42,10.56,6,1.45,13.19,2,19.15,9.11
588,27.11,101.92,0,868.57,1092.17,858.1,518.92,17.9,Mythic,408.02,10.47,6,1.42,12.88,1.99,19.08,9.16
589,27.21,102.61,0,870.05,1094.13,859.51,519.69,17.9,Mythic,408.9,10.55,6,1.48,13.28,2,19.28,9.11
590,27.34,102.05,0,871.47,1096.1,860.99,520.45,17.91,Mythic,406.95,10.48,6,1.43,13.14,2,19.33,9.12
591,27.47,101.83,0,872.96,1098.08,862.41,521.2,17.91,Mythic,408.5,10.54,6,1.48,13.3,2,19.18,9.1
592,27.65,103.04,0,874.38,1100.05,863.9,521.96,17.91,Mythic,407.87,10.48,6,1.42,13.01,2,19.25,9.15
593,27.78,102.42,0,875.85,1102.03,865.32,522.72,17.91,Mythic,408.38,10.53,6,1.46,13.27,2,19.19,9.11
594,27.88,101.46,0,877.27,1104,866.79,523.46,17.91,Mythic,408.72,10.48,6,1.47,13.05,2,19.08,9.16
595,27.95,105.89,0,878.76,1105.97,868.23,524.26,17.91,Mythic,409.93,10.53,6,1.41,13.2,1.99,19.69,9.14
596,27.97,101.91,0,880.18,1107.94,869.69,525.01,17.91,Mythic,410.35,10.49,6,1.38,12.93,2,19.22,9.19
597,27.99,100.51,0,881.67,1109.92,871.14,525.71,17.92,Mythic,410.72,10.53,6,1.55,13.08,2,18.86,9.16
598,28,102.67,0,883.1,1111.88,872.62,526.48,17.92,Mythic,409.88,10.49,6,1.48,12.96,2,19.39,9.19
599,28,103.39,0,884.59,1113.86,874.02,527.25,17.92,Mythic,410.95,10.57,6,1.41,13.25,2,19.47,9.14
600,28,103.14,0,885.98,1115.83,875.55,528,17.92,Mythic,409.47,10.44,6,1.39,12.78,2,19.13,9.24
601,28,103.18,0,887.51,1117.8,876.92,528.76,17.92,Mythic,411.23,10.59,6,1.49,13.24,2,19.31,9.13
602,28,102.08,0,888.88,1119.77,878.45,529.51,17.92,Mythic,408.2,10.43,6,1.42,12.86,2,19.23,9.2
