Session,Level,Gold,Energy,Catches,Upgrades,Merges,Quests,BestRank,Tier,TeamPower,CreatureCount,SpeciesUnlocked,MergePairs,AffordableUpgrades,ViableActions,FunScore,AvgTraitRank
603,28,101.38,0,890.41,1121.72,879.82,530.23,17.92,Mythic,410.15,10.59,6,1.52,13.38,1.99,18.93,9.1
604,28,102.23,0,891.79,1123.7,881.37,530.99,17.92,Mythic,408,10.42,6,1.45,12.78,2,19.33,9.22
605,28,100.75,0,893.34,1125.68,882.73,531.71,17.92,Mythic,410.25,10.61,6,1.51,13.52,1.99,18.91,9.09
606,28,103.81,0,894.69,1127.65,884.3,532.48,17.92,Mythic,407.84,10.38,6,1.4,12.72,2,19.48,9.24
607,28,100.06,0,896.26,1129.63,885.62,533.18,17.92,Mythic,411.03,10.63,6,1.53,13.6,1.99,18.73,9.07
608,28,102.95,0,897.6,1131.59,887.2,533.93,17.93,Mythic,408.76,10.4,6,1.49,12.81,2,19.09,9.25
609,28,102.36,0,899.14,1133.57,888.55,534.68,17.93,Mythic,411.08,10.59,6,1.49,13.46,2,19.29,9.12
610,28,103.77,0,900.53,1135.55,890.09,535.46,17.93,Mythic,409.67,10.44,6,1.36,12.94,2,19.53,9.23
611,28,101.54,0,902.04,1137.52,891.46,536.2,17.93,Mythic,411.2,10.58,6,1.48,13.33,2,19.17,9.13
612,28,101.94,0,903.43,1139.5,892.99,536.95,17.93,Mythic,409.29,10.44,6,1.44,12.92,2,19.31,9.21
613,28,100.33,0,904.97,1141.46,894.37,537.65,17.93,Mythic,411.09,10.6,6,1.54,13.54,2,18.92,9.11
614,28,104.16,0,906.34,1143.42,895.93,538.44,17.94,Mythic,408.56,10.4,6,1.36,12.88,2,19.58,9.24
615,28,103.07,0,907.91,1145.4,897.27,539.2,17.94,Mythic,411.71,10.64,6,1.44,13.62,2,19.3,9.09
616,28,104.06,0,909.23,1147.38,898.86,539.96,17.94,Mythic,408.66,10.37,6,1.4,12.63,2,19.27,9.27
617,28,101.49,0,910.81,1149.36,900.19,540.67,17.94,Mythic,411.9,10.62,6,1.53,13.48,2,18.94,9.1
618,28,103.8,0,912.16,1151.32,901.76,541.43,17.94,Mythic,410.51,10.39,6,1.47,12.58,2,19.38,9.29
619,28,102.8,0,913.72,1153.29,903.12,542.17,17.94,Mythic,412.75,10.61,6,1.49,13.35,2,19.24,9.14
620,28.01,106.14,0,915.1,1155.27,904.66,542.96,17.95,Mythic,411.25,10.43,6,1.4,12.71,2,19.73,9.28
621,28.03,100.96,0,916.63,1157.24,906.04,543.67,17.95,Mythic,413.36,10.59,6,1.53,13.24,1.99,18.91,9.18
622,28.07,105.71,0,918.01,1159.22,907.58,544.45,17.95,Mythic,410.81,10.43,6,1.41,12.81,2,19.54,9.27
623,28.15,99.1,0,919.54,1161.19,908.95,545.16,17.95,Mythic,413.31,10.59,6,1.5,13.21,2,18.7,9.17
624,28.26,105.09,0,920.9,1163.16,910.48,545.94,17.95,Mythic,411.02,10.42,6,1.41,12.75,2,19.41,9.29
625,28.37,101.73,0,922.45,1165.13,911.85,546.68,17.95,Mythic,412.52,10.6,6,1.4,13.4,2,19.07,9.14
626,28.52,103.48,0,923.81,1167.1,913.41,547.43,17.95,Mythic,410.46,10.4,6,1.42,12.73,2,19.18,9.29
627,28.67,98.72,0,925.36,1169.06,914.75,548.12,17.95,Mythic,413.61,10.61,6,1.58,13.4,2,18.71,9.16
628,28.81,105.64,0,926.71,1171.03,916.31,548.91,17.96,Mythic,411.54,10.4,6,1.43,12.66,2,19.64,9.31
629,28.91,100.9,0,928.28,1173.01,917.66,549.64,17.96,Mythic,414.23,10.63,6,1.5,13.47,2,19.23,9.15
630,28.95,106.32,0,929.62,1174.97,919.23,550.42,17.96,Mythic,411.38,10.39,6,1.36,12.66,2,19.55,9.32
631,28.98,100.85,0,931.17,1176.95,920.55,551.13,17.96,Mythic,414.56,10.63,6,1.47,13.37,2,18.87,9.16
632,28.99,106.77,0,932.53,1178.91,922.13,551.93,17.96,Mythic,411.7,10.4,6,1.37,12.65,2,19.69,9.32
633,29,100.86,0,934.08,1180.9,923.46,552.66,17.96,Mythic,414.99,10.62,6,1.48,13.2,2,19.07,9.19
634,29,103.65,0,935.42,1182.86,925.01,553.41,17.96,Mythic,413.07,10.41,6,1.41,12.46,2,19.21,9.34
635,29,102.24,0,936.97,1184.83,926.36,554.16,17.96,Mythic,415.47,10.61,6,1.48,13.2,2,19.08,9.21
636,29,103.55,0,938.33,1186.81,927.92,554.91,17.96,Mythic,411.76,10.41,6,1.36,12.65,2,19.2,9.32
637,29,104.28,0,939.87,1188.77,929.28,555.68,17.96,Mythic,413.45,10.58,6,1.42,13.35,2,19.36,9.19
638,29,105.12,0,941.25,1190.73,930.81,556.46,17.96,Mythic,412.56,10.43,6,1.28,12.68,2,19.46,9.31
639,29,99.56,0,942.77,1192.7,932.2,557.15,17.96,Mythic,414.06,10.57,6,1.55,13.11,1.99,18.79,9.21
640,29,103.79,0,944.18,1194.67,933.71,557.91,17.96,Mythic,413.6,10.48,6,1.5,12.78,2,19.35,9.3
641,29,99.39,0,945.67,1196.62,935.11,558.6,17.96,Mythic,414.61,10.55,6,1.52,13.03,1.99,18.52,9.24
642,29,102.76,0,947.08,1198.59,936.63,559.35,17.97,Mythic,413.79,10.45,6,1.53,12.72,2,19.13,9.32
643,29,104.08,0,948.57,1200.55,938.02,560.13,17.97,Mythic,414.94,10.55,6,1.39,13.11,1.99,19.31,9.25
644,29,104.31,0,949.99,1202.54,939.53,560.88,17.97,Mythic,414.03,10.46,6,1.37,12.72,2,19.35,9.31
645,29,102.69,0,951.49,1204.51,940.94,561.61,17.97,Mythic,415.58,10.55,6,1.48,12.96,2,19.11,9.27
646,29,103.62,0,952.9,1206.47,942.43,562.35,17.97,Mythic,414.96,10.47,6,1.53,12.75,2,19.12,9.32
647,29,103.35,0,954.39,1208.44,943.84,563.09,17.97,Mythic,416.01,10.55,6,1.52,13.03,2,19.09,9.28
648,29,104.25,0,955.8,1210.39,945.34,563.85,17.97,Mythic,415.4,10.46,6,1.43,12.54,1.99,19.28,9.34
649,29,101.94,0,957.3,1212.35,946.75,564.57,17.97,Mythic,416.67,10.55,6,1.49,12.8,1.99,18.94,9.29
650,29,101.5,0,958.71,1214.32,948.23,565.28,17.97,Mythic,415.78,10.48,6,1.54,12.6,1.99,18.87,9.34
651,29,103.41,0,960.19,1216.27,949.65,566.03,17.97,Mythic,416.09,10.53,6,1.54,12.8,1.99,19.15,9.3
652,29,101.57,0,961.62,1218.26,951.14,566.76,17.97,Mythic,414.8,10.48,6,1.46,12.77,2,19.2,9.32
653,29,104.5,0,963.11,1220.21,952.56,567.51,17.97,Mythic,415.61,10.55,6,1.48,13.08,1.99,19.18,9.27
654,29.01,103.01,0,964.53,1222.18,954.06,568.24,17.97,Mythic,414.75,10.47,6,1.49,12.81,2,19.11,9.32
655,29.01,100.71,0,966.02,1224.14,955.49,568.94,17.97,Mythic,415.65,10.53,6,1.55,12.93,1.99,18.72,9.3
656,29.04,102.57,0,967.46,1226.1,956.97,569.69,17.97,Mythic,414.95,10.49,6,1.44,12.88,2,19.13,9.3
657,29.11,100.94,0,968.93,1228.07,958.4,570.4,17.97,Mythic,414.95,10.54,6,1.49,13.11,2,18.86,9.26
658,29.19,103.72,0,970.37,1230.04,959.89,571.16,17.97,Mythic,413.56,10.48,6,1.45,13.06,2,19.27,9.28
659,29.3,103.33,0,971.85,1232.01,961.31,571.9,17.97,Mythic,413.65,10.54,6,1.5,13.4,2,19.04,9.22
660,29.41,103.77,0,973.25,1233.98,962.8,572.64,17.98,Mythic,413.21,10.45,6,1.41,13.05,2,19.06,9.29
661,29.57,100.89,0,974.77,1235.96,964.21,573.35,17.98,Mythic,415.13,10.56,6,1.49,13.4,2,18.99,9.23
662,29.72,105.53,0,976.17,1237.93,965.7,574.13,17.98,Mythic,414.62,10.47,6,1.46,13.06,2,19.45,9.31
663,29.83,101.92,0,977.65,1239.92,967.1,574.86,17.98,Mythic,415.79,10.55,6,1.48,13.21,2,19.08,9.26
664,29.91,105.26,0,979.08,1241.9,968.6,575.62,17.98,Mythic,414.09,10.47,6,1.48,13.1,2,19.3,9.3
665,29.96,101.26,0,980.55,1243.87,970.01,576.33,17.98,Mythic,414.68,10.54,6,1.54,13.3,2,18.77,9.26
666,29.98,105.12,0,981.96,1245.85,971.48,577.1,17.98,Mythic,413.51,10.48,6,1.46,13.09,2,19.2,9.3
667,29.99,102.65,0,983.45,1247.82,972.91,577.82,17.98,Mythic,414.42,10.53,6,1.46,13.2,2,18.98,9.27
668,30,104.14,0,984.87,1249.78,974.41,578.57,17.98,Mythic,413.9,10.46,6,1.46,13.01,2,19.16,9.31
669,30,102.54,0,986.37,1251.76,975.82,579.31,17.98,Mythic,414.58,10.54,6,1.45,13.3,2,19.18,9.25
670,30,103,0,987.77,1253.74,977.33,580.06,17.98,Mythic,413.67,10.44,6,1.41,12.87,2,19.32,9.33
671,30,104.28,0,989.27,1255.71,978.71,580.81,17.98,Mythic,415.35,10.56,6,1.45,13.37,2,19.34,9.25
672,30,102.66,0,990.68,1257.7,980.2,581.54,17.98,Mythic,414.75,10.47,6,1.45,12.98,2,19.32,9.32
673,30,103.41,0,992.16,1259.67,981.6,582.28,17.98,Mythic,415.89,10.56,6,1.48,13.27,2,19.22,9.26
674,30,103.94,0,993.57,1261.63,983.12,583.03,17.98,Mythic,414.87,10.45,6,1.42,12.87,2,19.23,9.35
675,30,104.12,0,995.06,1263.59,984.52,583.78,17.98,Mythic,415.75,10.54,6,1.52,13.12,2,19.27,9.29
676,30,103.49,0,996.48,1265.56,985.98,584.52,17.98,Mythic,415.67,10.5,6,1.53,12.96,2,19.19,9.32
677,30,104.42,0,997.95,1267.53,987.41,585.26,17.98,Mythic,416.09,10.54,6,1.57,13.16,2,19.17,9.29
678,30,103.92,0,999.37,1269.49,988.89,586,17.98,Mythic,415.29,10.48,6,1.53,12.93,2,19.13,9.33
679,30,102.51,0,1000.86,1271.46,990.32,586.72,17.98,Mythic,415.96,10.54,6,1.5,13.1,1.99,18.98,9.3
680,30,102.72,0,1002.27,1273.43,991.78,587.44,17.98,Mythic,415.73,10.49,6,1.53,13,2,18.8,9.33
681,30,102.52,0,1003.74,1275.4,993.23,588.17,17.98,Mythic,415.98,10.51,6,1.51,13.02,2,19.05,9.32
682,30,103.1,0,1005.17,1277.38,994.68,588.91,17.98,Mythic,415.88,10.49,6,1.48,12.91,2,19.16,9.33
683,30,103.19,0,1006.64,1279.34,996.09,589.64,17.98,Mythic,416.57,10.55,6,1.46,13.13,2,19.13,9.3
684,30,103.96,0,1008.06,1281.31,997.58,590.38,17.98,Mythic,416.28,10.48,6,1.54,12.82,2,19.21,9.36
685,30,102.68,0,1009.53,1283.29,998.99,591.1,17.98,Mythic,416.49,10.54,6,1.5,13.05,1.99,18.91,9.32
686,30,104.98,0,1010.96,1285.25,1000.46,591.85,17.98,Mythic,415.43,10.5,6,1.51,13.08,1.99,19,9.32
687,30,104.43,0,1012.41,1287.22,1001.91,592.58,17.98,Mythic,415.61,10.5,6,1.5,13.04,2,19.01,9.32
688,30,102.91,0,1013.87,1289.19,1003.36,593.3,17.98,Mythic,415.72,10.51,6,1.49,13.1,2,18.95,9.31
689,30.01,100.38,0,1015.33,1291.16,1004.82,593.99,17.98,Mythic,415.72,10.51,6,1.61,13.24,2,18.76,9.31
690,30.02,104.54,0,1016.78,1293.13,1006.28,594.74,17.99,Mythic,415.87,10.5,6,1.56,13.24,2,19.26,9.32
691,30.06,104.27,0,1018.24,1295.11,1007.7,595.5,17.99,Mythic,416.37,10.53,6,1.45,13.36,2,19.26,9.31
692,30.13,105.34,0,1019.65,1297.08,1009.17,596.24,17.99,Mythic,415.36,10.48,6,1.45,13.09,2,19.14,9.33
693,30.22,103.34,0,1021.13,1299.04,1010.6,596.96,17.99,Mythic,415.97,10.53,6,1.55,13.35,1.99,19.03,9.3
694,30.34,104.56,0,1022.57,1301.03,1012.06,597.71,17.99,Mythic,415.92,10.5,6,1.54,13.24,2,19.28,9.32
695,30.45,102.72,0,1024.01,1303.01,1013.51,598.44,17.99,Mythic,416.99,10.51,6,1.53,13.16,2,19.1,9.35
696,30.57,104.73,0,1025.47,1304.98,1014.95,599.19,17.99,Mythic,417.51,10.52,6,1.53,13.17,2,19.32,9.34
697,30.72,102.25,0,1026.91,1306.96,1016.42,599.91,17.99,Mythic,417.42,10.5,6,1.5,12.98,2,19.04,9.37
698,30.84,104.42,0,1028.36,1308.93,1017.83,600.64,17.99,Mythic,418.22,10.53,6,1.56,13.08,2,19.08,9.35
699,30.91,103.71,0,1029.78,1310.91,1019.3,601.38,17.99,Mythic,417.73,10.49,6,1.47,12.89,2,19.16,9.39
700,30.95,103.45,0,1031.27,1312.87,1020.72,602.09,17.99,Mythic,418.26,10.55,6,1.5,13.13,2,18.95,9.34
701,30.98,103.97,0,1032.7,1314.85,1022.22,602.84,17.99,Mythic,416.96,10.48,6,1.49,12.95,2,19.16,9.39
702,30.99,103.04,0,1034.16,1316.81,1023.65,603.55,17.99,Mythic,417.3,10.52,6,1.49,13.11,2,18.78,9.35
703,31,103.52,0,1035.61,1318.76,1025.11,604.29,17.99,Mythic,416.97,10.5,6,1.51,13.07,2,18.91,9.37
704,31,102.4,0,1037.08,1320.72,1026.55,605.01,17.99,Mythic,417,10.52,6,1.46,13.2,2,18.95,9.34
705,31,104.49,0,1038.52,1322.71,1028.02,605.76,17.99,Mythic,417.37,10.49,6,1.46,13.04,2,19.24,9.37
706,31,102.68,0,1039.98,1324.67,1029.46,606.48,17.99,Mythic,417.5,10.52,6,1.51,13.08,2,18.88,9.35
707,31,104.43,0,1041.41,1326.65,1030.92,607.22,17.99,Mythic,417.68,10.49,6,1.49,12.93,2,19.06,9.38
708,31,101.91,0,1042.87,1328.62,1032.35,607.93,17.99,Mythic,417.82,10.51,6,1.54,13.03,2,18.86,9.36
709,31,100.3,0,1044.32,1330.6,1033.81,608.61,17.99,Mythic,418.55,10.51,6,1.63,13.04,2,18.67,9.38
710,31,104.4,0,1045.77,1332.57,1035.28,609.37,17.99,Mythic,417.88,10.49,6,1.58,13.08,2,19.43,9.37
711,31,105.23,0,1047.24,1334.54,1036.7,610.13,17.99,Mythic,418.64,10.55,6,1.43,13.24,2,19.5,9.34
712,31,103.45,0,1048.66,1336.52,1038.19,610.86,17.99,Mythic,418.07,10.48,6,1.44,12.94,2,19.16,9.41
713,31,103.08,0,1050.14,1338.49,1039.6,611.58,17.99,Mythic,418.8,10.54,6,1.55,13.15,2,19.04,9.37
714,31,104.18,0,1051.58,1340.45,1041.07,612.33,17.99,Mythic,418.73,10.5,6,1.51,12.99,2,19.22,9.4
715,31,104.65,0,1053.02,1342.42,1042.54,613.06,17.99,Mythic,418.09,10.48,6,1.5,12.97,2,19.21,9.4
716,31,105.22,0,1054.5,1344.39,1043.96,613.8,17.99,Mythic,418.83,10.54,6,1.52,13.14,2,19.34,9.36
717,31,104.3,0,1055.93,1346.36,1045.43,614.55,17.99,Mythic,418.88,10.5,6,1.45,12.85,1.99,19.25,9.41
718,31,102.77,0,1057.39,1348.32,1046.86,615.26,17.99,Mythic,419.33,10.53,6,1.51,13.01,2,18.81,9.39
719,31,106.85,0,1058.82,1350.27,1048.34,616.02,17.99,Mythic,418.25,10.48,6,1.51,13,1.99,19.2,9.41
720,31,103.42,0,1060.3,1352.24,1049.75,616.75,18,Mythic,419.35,10.55,6,1.48,13.13,1.99,18.88,9.36
721,31,104.21,0,1061.72,1354.2,1051.24,617.48,18,Mythic,418.7,10.48,6,1.48,12.9,1.99,18.96,9.42
722,31,102.02,0,1063.2,1356.17,1052.65,618.19,18,Mythic,419.66,10.55,6,1.53,13.14,2,18.63,9.37
723,31,104.1,0,1064.61,1358.14,1054.14,618.92,18,Mythic,418.51,10.47,6,1.49,12.85,2,18.77,9.43
724,31.01,102.15,0,1066.09,1360.12,1055.54,619.63,18,Mythic,419.44,10.55,6,1.61,13.21,2,18.69,9.37
725,31.03,104.65,0,1067.49,1362.08,1057.05,620.38,18,Mythic,418.59,10.44,6,1.49,12.78,2,19.07,9.45
726,31.07,102.73,0,1069.01,1364.05,1058.45,621.1,18,Mythic,419.94,10.56,6,1.53,13.16,2,18.97,9.37
727,31.14,105.38,0,1070.41,1366.02,1059.96,621.84,18,Mythic,418.88,10.44,6,1.44,12.78,2,19.14,9.45
728,31.24,103.52,0,1071.93,1367.99,1061.34,622.56,18,Mythic,420.2,10.59,6,1.53,13.25,2,19.07,9.34
729,31.35,106.31,0,1073.29,1369.96,1062.87,623.32,18,Mythic,418.69,10.42,6,1.46,12.65,1.99,19.19,9.47
730,31.46,102.98,0,1074.82,1371.93,1064.24,624.03,18,Mythic,420.83,10.58,6,1.52,13.19,2,18.97,9.36
731,31.62,104.17,0,1076.2,1373.9,1065.77,624.76,18,Mythic,419.08,10.43,6,1.46,12.64,2,19.24,9.46
732,31.75,104.79,0,1077.73,1375.87,1067.15,625.5,18,Mythic,421.33,10.58,6,1.5,13.04,1.99,19.23,9.38
733,31.85,103.05,0,1079.11,1377.84,1068.65,626.22,18,Mythic,420.15,10.46,6,1.45,12.6,2,19.01,9.46
734,31.9,102.61,0,1080.61,1379.8,1070.06,626.93,18,Mythic,421.16,10.56,6,1.53,13.07,1.99,18.92,9.39
735,31.96,102.94,0,1082.01,1381.77,1071.56,627.65,18,Mythic,419.97,10.45,6,1.47,12.67,2,19,9.47
736,31.98,102.97,0,1083.52,1383.74,1072.95,628.37,18,Mythic,420.7,10.57,6,1.54,13.27,2,19.07,9.37
737,31.99,104.65,0,1084.91,1385.7,1074.45,629.13,18,Mythic,419.26,10.46,6,1.42,12.91,2,19.25,9.45
738,32,106.09,0,1086.41,1387.68,1075.84,629.87,18,Mythic,420.53,10.57,6,1.5,13.28,2,19.23,9.37
739,32,105.28,0,1087.79,1389.64,1077.35,630.6,18,Mythic,417.99,10.44,6,1.5,12.93,1.99,19,9.44
740,32,103.43,0,1089.32,1391.61,1078.72,631.3,18,Mythic,420.11,10.6,6,1.61,13.44,2,18.83,9.34
741,32,105.11,0,1090.68,1393.58,1080.26,632.04,18,Mythic,417.99,10.42,6,1.46,12.82,2,19.12,9.47
742,32,102.73,0,1092.22,1395.56,1081.6,632.75,18,Mythic,420.53,10.61,6,1.57,13.48,2,18.68,9.33
743,32,104.73,0,1093.58,1397.52,1083.16,633.48,18,Mythic,418.46,10.42,6,1.49,12.78,1.99,18.9,9.47
744,32,102.54,0,1095.1,1399.48,1084.54,634.18,18,Mythic,420.09,10.56,6,1.58,13.34,2,18.65,9.36
745,32,106.29,0,1096.5,1401.45,1086.05,634.92,18,Mythic,418.8,10.45,6,1.52,12.92,1.99,19.12,9.45
746,32,104.41,0,1098,1403.42,1087.44,635.64,18,Mythic,420.19,10.57,6,1.52,13.32,1.99,18.89,9.36
747,32,105.66,0,1099.4,1405.4,1088.95,636.37,18,Mythic,418.85,10.45,6,1.45,12.9,2,19.11,9.45
748,32,102.73,0,1100.92,1407.37,1090.33,637.06,18,Mythic,420.02,10.59,6,1.56,13.54,2,18.69,9.33
749,32,103.81,0,1102.28,1409.34,1091.86,637.79,18,Mythic,417.96,10.42,6,1.5,12.92,1.99,18.96,9.46
750,32,102.41,0,1103.81,1411.31,1093.24,638.49,18,Mythic,420.7,10.57,6,1.58,13.38,2,18.81,9.37
751,32,103.17,0,1105.2,1413.27,1094.74,639.2,18,Mythic,419.67,10.46,6,1.53,12.93,2,18.75,9.45
752,32,103.33,0,1106.7,1415.23,1096.13,639.91,18,Mythic,421.25,10.57,6,1.53,13.35,2,18.8,9.39
753,32,105.24,0,1108.09,1417.2,1097.64,640.66,18,Mythic,419.85,10.45,6,1.45,12.92,2,19.11,9.47
754,32,103.69,0,1109.6,1419.18,1099.05,641.39,18,Mythic,419.94,10.55,6,1.53,13.48,2,19.07,9.37
755,32,106.11,0,1111.02,1421.16,1100.54,642.13,18,Mythic,419.35,10.48,6,1.47,13.19,1.99,19,9.44
756,32,102.13,0,1112.49,1423.14,1101.97,642.82,18,Mythic,419.39,10.52,6,1.59,13.27,2,18.64,9.4
757,32,106.37,0,1113.92,1425.11,1103.44,643.57,18,Mythic,419.13,10.48,6,1.51,13.19,1.99,19.15,9.43
758,32,104.03,0,1115.37,1427.07,1104.87,644.3,18,Mythic,420.17,10.51,6,1.46,13.14,2,19.08,9.42
759,32.02,105.68,0,1116.83,1429.04,1106.31,645.04,18,Mythic,419.53,10.52,6,1.55,13.28,2,19.22,9.39
760,32.04,102.39,0,1118.28,1431.01,1107.76,645.73,18,Mythic,419.45,10.52,6,1.57,13.26,2,18.87,9.39
761,32.09,105.72,0,1119.73,1432.98,1109.2,646.47,18,Mythic,419.45,10.53,6,1.57,13.38,2,19.16,9.38
762,32.16,104.05,0,1121.16,1434.96,1110.68,647.2,18,Mythic,419.69,10.48,6,1.52,13.06,2,19.02,9.45
763,32.25,104.46,0,1122.66,1436.93,1112.09,647.94,18,Mythic,421.06,10.56,6,1.51,13.34,2,19.04,9.39
764,32.35,104.49,0,1124.06,1438.89,1113.59,648.65,18,Mythic,420.99,10.47,6,1.43,12.84,1.99,18.77,9.49
765,32.5,105.53,0,1125.53,1440.87,1115,649.38,18,Mythic,421.23,10.53,6,1.5,13.14,2,18.92,9.43
766,32.63,102.6,0,1126.96,1442.84,1116.49,650.07,18,Mythic,420.35,10.47,6,1.54,12.92,2,18.74,9.47
767,32.76,104.27,0,1128.46,1444.8,1117.91,650.79,18,Mythic,421.35,10.55,6,1.57,13.28,1.99,19,9.41
768,32.85,105.64,0,1129.88,1446.78,1119.38,651.53,18,Mythic,420.7,10.49,6,1.51,13.09,2,19.26,9.46
769,32.91,102.7,0,1131.34,1448.75,1120.82,652.24,18,Mythic,421.46,10.52,6,1.53,13.12,1.99,18.77,9.44
770,32.95,105.73,0,1132.79,1450.7,1122.27,652.99,18,Mythic,421.87,10.51,6,1.48,13.11,1.99,19.1,9.46
771,32.97,107.02,0,1134.23,1452.67,1123.73,653.75,18,Mythic,421.49,10.5,6,1.48,13.04,1.99,19.12,9.45
772,33,104.35,0,1135.69,1454.65,1125.18,654.45,18,Mythic,421.54,10.51,6,1.51,13,2,18.83,9.46
773,33,103.58,0,1137.12,1456.61,1126.62,655.16,18,Mythic,422.36,10.49,6,1.54,12.85,2,18.72,9.49
774,33,106.79,0,1138.59,1458.58,1128.06,655.92,18,Mythic,423.13,10.52,6,1.49,12.91,2,19.32,9.48
775,33,101.3,0,1140.02,1460.56,1129.52,656.61,18,Mythic,422.56,10.5,6,1.53,12.89,2,18.66,9.48
776,33,105.12,0,1141.49,1462.54,1130.98,657.35,18,Mythic,422.68,10.51,6,1.53,12.98,2,19.22,9.47
777,33,105.3,0,1142.93,1464.51,1132.43,658.1,18,Mythic,422.57,10.5,6,1.45,12.9,2,19.23,9.48
778,33,103.47,0,1144.38,1466.48,1133.87,658.79,18,Mythic,422.84,10.51,6,1.51,12.88,2,18.73,9.49
779,33,106.92,0,1145.83,1468.46,1135.31,659.54,18,Mythic,422.98,10.52,6,1.52,12.96,2,19.3,9.48
780,33,104.41,0,1147.26,1470.45,1136.78,660.27,18,Mythic,421.93,10.48,6,1.52,12.88,1.99,19.06,9.48
781,33,104.94,0,1148.73,1472.42,1138.2,660.98,18,Mythic,422.24,10.53,6,1.56,13.06,2,18.93,9.45
782,33,105.19,0,1150.17,1474.38,1139.67,661.7,18,Mythic,421.63,10.5,6,1.52,12.94,2,19.13,9.47
783,33,104.4,0,1151.64,1476.37,1141.09,662.41,18,Mythic,422.53,10.55,6,1.51,13.12,2,18.92,9.44
784,33,104.36,0,1153.05,1478.33,1142.57,663.15,18,Mythic,420.96,10.48,6,1.5,13.01,2,19.02,9.47
785,33,102.92,0,1154.54,1480.3,1144,663.84,18,Mythic,421.93,10.53,6,1.58,13.17,2,18.7,9.44
786,33,106.38,0,1155.97,1482.25,1145.49,664.58,18,Mythic,422.11,10.48,6,1.51,12.89,1.99,19.07,9.5
787,33,104.09,0,1157.46,1484.23,1146.92,665.29,18,Mythic,423.12,10.54,6,1.56,13.11,2,18.81,9.45
788,33,105.52,0,1158.87,1486.2,1148.4,666.02,18,Mythic,422.8,10.47,6,1.51,12.83,1.99,19,9.53
789,33,104.02,0,1160.35,1488.16,1149.83,666.74,18,Mythic,423.27,10.53,6,1.5,12.96,1.99,18.95,9.48
790,33,102.47,0,1161.79,1490.13,1151.31,667.43,18,Mythic,421.89,10.48,6,1.63,12.99,1.99,18.85,9.49
791,33,104.6,0,1163.26,1492.08,1152.74,668.16,18,Mythic,422.99,10.53,6,1.58,13.03,2,19.15,9.47
792,33,104.5,0,1164.71,1494.07,1154.19,668.88,18,Mythic,423.25,10.52,6,1.5,13.04,2,19.1,9.48
793,33,103.83,0,1166.15,1496.03,1155.65,669.58,18,Mythic,422.99,10.5,6,1.53,12.97,2,18.84,9.5
794,33.02,106.72,0,1167.62,1498,1157.09,670.34,18,Mythic,423.19,10.53,6,1.52,13.07,2,19.42,9.47
795,33.05,104.17,0,1169.05,1499.98,1158.57,671.07,18,Mythic,422.11,10.49,6,1.48,12.99,2,19.11,9.48
796,33.1,104.75,0,1170.51,1501.95,1159.99,671.8,18,Mythic,422.42,10.52,6,1.51,13.07,2,19.09,9.47
797,33.17,104.62,0,1171.95,1503.91,1161.44,672.52,18,Mythic,422.36,10.51,6,1.53,13.13,2,19.02,9.48
798,33.27,104.35,0,1173.4,1505.9,1162.89,673.23,18,Mythic,422.09,10.52,6,1.57,13.17,2,18.95,9.46
799,33.38,105.82,0,1174.84,1507.86,1164.35,673.97,18,Mythic,422.42,10.5,6,1.47,13.01,2,19.14,9.49
800,33.51,103.79,0,1176.32,1509.84,1165.78,674.68,18,Mythic,424.13,10.54,6,1.52,12.96,2,18.92,9.49
